DateTime,Vehicles,ID,Junction
17-12-2015 17:00,1,20151217171,Panchvati
17-12-2015 18:00,2,20151217181,Panchvati
17-12-2015 19:00,3,20151217191,Panchvati
17-12-2015 20:00,4,20151217201,Panchvati
17-12-2015 21:00,5,20151217211,Panchvati
17-12-2015 22:00,6,20151217221,Panchvati
17-12-2015 23:00,7,20151217231,Panchvati
18-12-2015 00:00,8,20151218001,Panchvati
18-12-2015 01:00,9,20151218011,Panchvati
18-12-2015 02:00,10,20151218021,Panchvati
18-12-2015 03:00,11,20151218031,Panchvati
18-12-2015 04:00,12,20151218041,Panchvati
18-12-2015 05:00,13,20151218051,Panchvati
18-12-2015 06:00,14,20151218061,Panchvati
18-12-2015 07:00,15,20151218071,Panchvati
18-12-2015 08:00,16,20151218081,Panchvati
18-12-2015 09:00,17,20151218091,Panchvati
18-12-2015 10:00,18,20151218101,Panchvati
18-12-2015 11:00,19,20151218111,Panchvati
18-12-2015 12:00,20,20151218121,Panchvati
18-12-2015 13:00,21,20151218131,Panchvati
18-12-2015 14:00,22,20151218141,Panchvati
18-12-2015 15:00,23,20151218151,Panchvati
18-12-2015 16:00,24,20151218161,Panchvati
18-12-2015 17:00,25,20151218171,Panchvati
18-12-2015 18:00,26,20151218181,Panchvati
18-12-2015 19:00,27,20151218191,Panchvati
18-12-2015 20:00,28,20151218201,Panchvati
18-12-2015 21:00,29,20151218211,Panchvati
18-12-2015 22:00,30,20151218221,Panchvati
18-12-2015 23:00,31,20151218231,Panchvati
19-12-2015 00:00,32,20151219001,Panchvati
19-12-2015 01:00,33,20151219011,Panchvati
19-12-2015 02:00,34,20151219021,Panchvati
19-12-2015 03:00,35,20151219031,Panchvati
19-12-2015 04:00,36,20151219041,Panchvati
19-12-2015 05:00,37,20151219051,Panchvati
19-12-2015 06:00,38,20151219061,Panchvati
19-12-2015 07:00,39,20151219071,Panchvati
19-12-2015 08:00,40,20151219081,Panchvati
19-12-2015 09:00,41,20151219091,Panchvati
19-12-2015 10:00,42,20151219101,Panchvati
19-12-2015 11:00,43,20151219111,Panchvati
19-12-2015 12:00,44,20151219121,Panchvati
19-12-2015 13:00,45,20151219131,Panchvati
19-12-2015 14:00,46,20151219141,Panchvati
19-12-2015 15:00,47,20151219151,Panchvati
19-12-2015 16:00,48,20151219161,Panchvati
19-12-2015 17:00,49,20151219171,Panchvati
19-12-2015 18:00,50,20151219181,Panchvati
19-12-2015 19:00,51,20151219191,Panchvati
19-12-2015 20:00,52,20151219201,Panchvati
19-12-2015 21:00,53,20151219211,Panchvati
19-12-2015 22:00,54,20151219221,Panchvati
19-12-2015 23:00,55,20151219231,Panchvati
20-12-2015 00:00,56,20151220001,Panchvati
20-12-2015 01:00,57,20151220011,Panchvati
20-12-2015 02:00,58,20151220021,Panchvati
20-12-2015 03:00,59,20151220031,Panchvati
20-12-2015 04:00,60,20151220041,Panchvati
20-12-2015 05:00,61,20151220051,Panchvati
20-12-2015 06:00,62,20151220061,Panchvati
20-12-2015 07:00,63,20151220071,Panchvati
20-12-2015 08:00,64,20151220081,Panchvati
20-12-2015 09:00,65,20151220091,Panchvati
20-12-2015 10:00,66,20151220101,Panchvati
