DateTime,Junction,Pcu
2015-11-01,Swargate Bus Stand,9
2015-11-02,Swargate Bus Stand,7
2015-11-03,Swargate Bus Stand,5
2015-11-04,Swargate Bus Stand,1
2015-11-05,Swargate Bus Stand,2
2015-11-06,Swargate Bus Stand,2
2015-11-07,Swargate Bus Stand,3
2015-11-08,Swargate Bus Stand,4
2015-11-09,Swargate Bus Stand,3
2015-11-10,Swargate Bus Stand,6
2015-11-11,Swargate Bus Stand,12
2015-11-12,Swargate Bus Stand,6
2015-11-13,Swargate Bus Stand,6
2015-11-14,Swargate Bus Stand,9
2015-11-15,Swargate Bus Stand,6
2015-11-16,Swargate Bus Stand,6
2015-11-17,Swargate Bus Stand,4
2015-11-18,Swargate Bus Stand,4
2015-11-19,Swargate Bus Stand,6
2015-11-20,Swargate Bus Stand,5
2015-11-21,Swargate Bus Stand,11
2015-11-22,Swargate Bus Stand,8
2015-11-23,Swargate Bus Stand,6
2015-11-24,Swargate Bus Stand,5
2015-11-25,Swargate Bus Stand,5
2015-11-26,Swargate Bus Stand,3
2015-11-27,Swargate Bus Stand,5
2015-11-28,Swargate Bus Stand,5
2015-11-29,Swargate Bus Stand,3
2015-11-30,Swargate Bus Stand,1
2015-12-01,Swargate Bus Stand,5
2015-12-02,Swargate Bus Stand,1
2015-12-03,Swargate Bus Stand,5
2015-12-04,Swargate Bus Stand,8
2015-12-05,Swargate Bus Stand,10
2015-12-06,Swargate Bus Stand,10
2015-12-07,Swargate Bus Stand,11
2015-12-08,Swargate Bus Stand,7
2015-12-09,Swargate Bus Stand,6
2015-12-10,Swargate Bus Stand,9
2015-12-11,Swargate Bus Stand,6
2015-12-12,Swargate Bus Stand,6
2015-12-13,Swargate Bus Stand,8
2015-12-14,Swargate Bus Stand,7
2015-12-15,Swargate Bus Stand,13
2015-12-16,Swargate Bus Stand,15
2015-12-17,Swargate Bus Stand,9
2015-12-18,Swargate Bus Stand,8
2015-12-19,Swargate Bus Stand,10
2015-12-20,Swargate Bus Stand,4
2015-12-21,Swargate Bus Stand,7
2015-12-22,Swargate Bus Stand,5
2015-12-23,Swargate Bus Stand,4
2015-12-24,Swargate Bus Stand,4
2015-12-25,Swargate Bus Stand,3
2015-12-26,Swargate Bus Stand,5
2015-12-27,Swargate Bus Stand,6
2015-12-28,Swargate Bus Stand,6
2015-12-29,Swargate Bus Stand,10
2015-12-30,Swargate Bus Stand,8
2015-12-31,Swargate Bus Stand,10
2016-01-01,Swargate Bus Stand,5
2016-01-02,Swargate Bus Stand,8
2016-01-03,Swargate Bus Stand,8
2016-01-04,Swargate Bus Stand,5
2016-01-05,Swargate Bus Stand,7
2016-01-06,Swargate Bus Stand,4
2016-01-07,Swargate Bus Stand,7
2016-01-08,Swargate Bus Stand,6
2016-01-09,Swargate Bus Stand,6
