DateTime,Junction,Vehicles,ID
2015-11-01,Paud Road,13,25
2015-11-02,Paud Road,12,45
2015-11-03,Paud Road,18,4
2015-11-04,Paud Road,18,60
2015-11-05,Paud Road,20,69
2015-11-06,Paud Road,18,84
2015-11-07,Paud Road,16,61
2015-11-08,Paud Road,16,92
2015-11-09,Paud Road,15,16
2015-11-10,Paud Road,19,40
2015-11-11,Paud Road,25,70
2015-11-12,Paud Road,17,62
2015-11-13,Paud Road,21,57
2015-11-14,Paud Road,20,0
2015-11-15,Paud Road,13,15
2015-11-16,Paud Road,14,60
2015-11-17,Paud Road,21,40
2015-11-18,Paud Road,23,14
2015-11-19,Paud Road,23,90
2015-11-20,Paud Road,20,78
2015-11-21,Paud Road,16,33
2015-11-22,Paud Road,15,82
2015-11-23,Paud Road,14,0
2015-11-24,Paud Road,19,34
2015-11-25,Paud Road,16,67
2015-11-26,Paud Road,16,52
2015-11-27,Paud Road,19,30
2015-11-28,Paud Road,13,5
2015-11-29,Paud Road,17,42
2015-11-30,Paud Road,13,72
2015-12-01,Paud Road,20,59
2015-12-02,Paud Road,19,39
2015-12-03,Paud Road,22,79
2015-12-04,Paud Road,19,44
2015-12-05,Paud Road,19,41
2015-12-06,Paud Road,14,39
2015-12-07,Paud Road,15,15
2015-12-08,Paud Road,20,83
2015-12-09,Paud Road,20,11
2015-12-10,Paud Road,14,28
2015-12-11,Paud Road,19,97
2015-12-12,Paud Road,16,50
2015-12-13,Paud Road,15,28
2015-12-14,Paud Road,16,88
2015-12-15,Paud Road,17,25
2015-12-16,Paud Road,22,11
2015-12-17,Paud Road,20,60
2015-12-18,Paud Road,20,67
2015-12-19,Paud Road,25,35
2015-12-20,Paud Road,14,82
2015-12-21,Paud Road,16,67
2015-12-22,Paud Road,20,62
2015-12-23,Paud Road,18,44
2015-12-24,Paud Road,15,84
2015-12-25,Paud Road,13,47
2015-12-26,Paud Road,15,61
2015-12-27,Paud Road,15,12
2015-12-28,Paud Road,13,75
2015-12-29,Paud Road,19,11
2015-12-30,Paud Road,17,15
2015-12-31,Paud Road,18,41
2016-01-01,Paud Road,13,57
2016-01-02,Paud Road,15,44
2016-01-03,Paud Road,13,98
2016-01-04,Paud Road,19,74
2016-01-05,Paud Road,21,19
2016-01-06,Paud Road,25,94
2016-01-07,Paud Road,22,43
2016-01-08,Paud Road,25,84
2016-01-09,Paud Road,19,68
2016-01-10,Paud Road,18,4
2016-01-11,Paud Road,16,78
2016-01-12,Paud Road,22,47
2016-01-13,Paud Road,21,9
2016-01-14,Paud Road,18,84
2016-01-15,Paud Road,20,23
2016-01-16,Paud Road,20,25
2016-01-17,Paud Road,23,65
2016-01-18,Paud Road,21,21
2016-01-19,Paud Road,32,54
2016-01-20,Paud Road,26,60
2016-01-21,Paud Road,24,45
