DateTime,Junction,Vehicles
2017-05-04,Paud Road,62
2017-05-05,Paud Road,61
2017-05-06,Paud Road,53
2017-05-07,Paud Road,43
2017-05-08,Paud Road,43
2017-05-09,Paud Road,64
2017-05-10,Paud Road,64
2017-05-11,Paud Road,65
2017-05-12,Paud Road,76
2017-05-13,Paud Road,59
2017-05-14,Paud Road,42
2017-05-15,Paud Road,44
2017-05-16,Paud Road,64
2017-05-17,Paud Road,60
2017-05-18,Paud Road,61
2017-05-19,Paud Road,66
2017-05-20,Paud Road,56
2017-05-21,Paud Road,40
2017-05-22,Paud Road,47
2017-05-23,Paud Road,74
2017-05-24,Paud Road,71
2017-05-25,Paud Road,65
2017-05-26,Paud Road,70
2017-05-27,Paud Road,62
2017-05-28,Paud Road,45
2017-05-29,Paud Road,48
2017-05-30,Paud Road,58
2017-05-31,Paud Road,66
2017-06-01,Paud Road,71
2017-06-02,Paud Road,69
2017-06-03,Paud Road,62
2017-06-04,Paud Road,39
2017-06-05,Paud Road,46
2017-06-06,Paud Road,71
2017-06-07,Paud Road,81
2017-06-08,Paud Road,65
2017-06-09,Paud Road,73
2017-06-10,Paud Road,60
2017-06-11,Paud Road,44
2017-06-12,Paud Road,46
2017-06-13,Paud Road,75
2017-06-14,Paud Road,73
2017-06-15,Paud Road,69
2017-06-16,Paud Road,62
2017-06-17,Paud Road,55
2017-06-18,Paud Road,41
2017-06-19,Paud Road,42
2017-06-20,Paud Road,73
2017-06-21,Paud Road,71
2017-06-22,Paud Road,66
2017-06-23,Paud Road,69
2017-06-24,Paud Road,54
2017-06-25,Paud Road,44
2017-06-26,Paud Road,51
2017-06-27,Paud Road,75
2017-06-28,Paud Road,70
2017-06-29,Paud Road,76
