DateTime,Junction,Vehicles
2015-11-01,Pune Station Road,6
2015-11-02,Pune Station Road,6
2015-11-03,Pune Station Road,8
2015-11-04,Pune Station Road,8
2015-11-05,Pune Station Road,7
2015-11-06,Pune Station Road,8
2015-11-07,Pune Station Road,10
2015-11-08,Pune Station Road,3
2015-11-09,Pune Station Road,4
2015-11-10,Pune Station Road,11
2015-11-11,Pune Station Road,6
2015-11-12,Pune Station Road,12
2015-11-13,Pune Station Road,8
2015-11-14,Pune Station Road,6
2015-11-15,Pune Station Road,5
2015-11-16,Pune Station Road,5
2015-11-17,Pune Station Road,8
2015-11-18,Pune Station Road,9
2015-11-19,Pune Station Road,6
2015-11-20,Pune Station Road,8
2015-11-21,Pune Station Road,7
2015-11-22,Pune Station Road,6
2015-11-23,Pune Station Road,7
2015-11-24,Pune Station Road,9
2015-11-25,Pune Station Road,6
2015-11-26,Pune Station Road,8
2015-11-27,Pune Station Road,6
2015-11-28,Pune Station Road,6
2015-11-29,Pune Station Road,10
2015-11-30,Pune Station Road,9
2015-12-01,Pune Station Road,7
2015-12-02,Pune Station Road,11
2015-12-03,Pune Station Road,9
2015-12-04,Pune Station Road,9
2015-12-05,Pune Station Road,6
2015-12-06,Pune Station Road,4
2015-12-07,Pune Station Road,8
2015-12-08,Pune Station Road,7
2015-12-09,Pune Station Road,8
2015-12-10,Pune Station Road,9
2015-12-11,Pune Station Road,7
2015-12-12,Pune Station Road,7
2015-12-13,Pune Station Road,7
2015-12-14,Pune Station Road,6
2015-12-15,Pune Station Road,10
2015-12-16,Pune Station Road,7
2015-12-17,Pune Station Road,8
2015-12-18,Pune Station Road,9
2015-12-19,Pune Station Road,10
2015-12-20,Pune Station Road,8
2015-12-21,Pune Station Road,5
2015-12-22,Pune Station Road,9
2015-12-23,Pune Station Road,6
2015-12-24,Pune Station Road,6
2015-12-25,Pune Station Road,4
2015-12-26,Pune Station Road,5
2015-12-27,Pune Station Road,7
2015-12-28,Pune Station Road,7
2015-12-29,Pune Station Road,5
2015-12-30,Pune Station Road,6
2015-12-31,Pune Station Road,6
2016-01-01,Pune Station Road,1
2016-01-02,Pune Station Road,2
2016-01-03,Pune Station Road,5
2016-01-04,Pune Station Road,7
2016-01-05,Pune Station Road,6
2016-01-06,Pune Station Road,7
2016-01-07,Pune Station Road,10
2016-01-08,Pune Station Road,7
2016-01-09,Pune Station Road,7
2016-01-10,Pune Station Road,7
2016-01-11,Pune Station Road,4
2016-01-12,Pune Station Road,6
2016-01-13,Pune Station Road,5
2016-01-14,Pune Station Road,8
2016-01-15,Pune Station Road,5
2016-01-16,Pune Station Road,6
2016-01-17,Pune Station Road,3
2016-01-18,Pune Station Road,8
2016-01-19,Pune Station Road,7
2016-01-20,Pune Station Road,12
2016-01-21,Pune Station Road,10
2016-01-22,Pune Station Road,10
2016-01-23,Pune Station Road,8
2016-01-24,Pune Station Road,5
2016-01-25,Pune Station Road,8
2016-01-26,Pune Station Road,8
2016-01-27,Pune Station Road,10
2016-01-28,Pune Station Road,11
2016-01-29,Pune Station Road,7
2016-01-30,Pune Station Road,9
2016-01-31,Pune Station Road,10
2016-02-01,Pune Station Road,10
2016-02-02,Pune Station Road,12
2016-02-03,Pune Station Road,10
2016-02-04,Pune Station Road,9
2016-02-05,Pune Station Road,9
2016-02-06,Pune Station Road,10
2016-02-07,Pune Station Road,8
2016-02-08,Pune Station Road,8
2016-02-09,Pune Station Road,10
2016-02-10,Pune Station Road,10
2016-02-11,Pune Station Road,12
2016-02-12,Pune Station Road,12
2016-02-13,Pune Station Road,10
2016-02-14,Pune Station Road,10
2016-02-15,Pune Station Road,10
2016-02-16,Pune Station Road,8
2016-02-17,Pune Station Road,11
2016-02-18,Pune Station Road,10
2016-02-19,Pune Station Road,8
2016-02-20,Pune Station Road,8
2016-02-21,Pune Station Road,10
2016-02-22,Pune Station Road,8
2016-02-23,Pune Station Road,12
2016-02-24,Pune Station Road,15
2016-02-25,Pune Station Road,10
2016-02-26,Pune Station Road,10
2016-02-27,Pune Station Road,8
2016-02-28,Pune Station Road,7
2016-02-29,Pune Station Road,8
2016-03-01,Pune Station Road,12
2016-03-02,Pune Station Road,15
2016-03-03,Pune Station Road,13
2016-03-04,Pune Station Road,9
2016-03-05,Pune Station Road,12
2016-03-06,Pune Station Road,6
2016-03-07,Pune Station Road,8
2016-03-08,Pune Station Road,14
2016-03-09,Pune Station Road,11
2016-03-10,Pune Station Road,14
2016-03-11,Pune Station Road,9
2016-03-12,Pune Station Road,12
2016-03-13,Pune Station Road,6
2016-03-14,Pune Station Road,9
2016-03-15,Pune Station Road,12
2016-03-16,Pune Station Road,9
2016-03-17,Pune Station Road,12
2016-03-18,Pune Station Road,10
2016-03-19,Pune Station Road,13
2016-03-20,Pune Station Road,6
2016-03-21,Pune Station Road,6
2016-03-22,Pune Station Road,12
2016-03-23,Pune Station Road,13
2016-03-24,Pune Station Road,8
2016-03-25,Pune Station Road,10
2016-03-26,Pune Station Road,10
2016-03-27,Pune Station Road,10
2016-03-28,Pune Station Road,5
2016-03-29,Pune Station Road,14
2016-03-30,Pune Station Road,12
2016-03-31,Pune Station Road,12
2016-04-01,Pune Station Road,9
2016-04-02,Pune Station Road,12
2016-04-03,Pune Station Road,7
2016-04-04,Pune Station Road,10
2016-04-05,Pune Station Road,15
2016-04-06,Pune Station Road,11
2016-04-07,Pune Station Road,11
2016-04-08,Pune Station Road,15
2016-04-09,Pune Station Road,8
2016-04-10,Pune Station Road,9
2016-04-11,Pune Station Road,9
2016-04-12,Pune Station Road,13
2016-04-13,Pune Station Road,14
2016-04-14,Pune Station Road,12
2016-04-15,Pune Station Road,14
2016-04-16,Pune Station Road,10
2016-04-17,Pune Station Road,9
2016-04-18,Pune Station Road,12
2016-04-19,Pune Station Road,14
2016-04-20,Pune Station Road,15
2016-04-21,Pune Station Road,15
2016-04-22,Pune Station Road,9
2016-04-23,Pune Station Road,12
2016-04-24,Pune Station Road,8
2016-04-25,Pune Station Road,9
2016-04-26,Pune Station Road,11
2016-04-27,Pune Station Road,13
2016-04-28,Pune Station Road,12
2016-04-29,Pune Station Road,12
2016-04-30,Pune Station Road,14
2016-05-01,Pune Station Road,10
2016-05-02,Pune Station Road,8
2016-05-03,Pune Station Road,14
2016-05-04,Pune Station Road,13
2016-05-05,Pune Station Road,12
2016-05-06,Pune Station Road,15
2016-05-07,Pune Station Road,11
2016-05-08,Pune Station Road,8
2016-05-09,Pune Station Road,7
2016-05-10,Pune Station Road,9
2016-05-11,Pune Station Road,12
2016-05-12,Pune Station Road,17
2016-05-13,Pune Station Road,12
2016-05-14,Pune Station Road,11
2016-05-15,Pune Station Road,9
2016-05-16,Pune Station Road,11
2016-05-17,Pune Station Road,12
2016-05-18,Pune Station Road,13
2016-05-19,Pune Station Road,13
2016-05-20,Pune Station Road,15
2016-05-21,Pune Station Road,10
2016-05-22,Pune Station Road,7
2016-05-23,Pune Station Road,8
2016-05-24,Pune Station Road,11
2016-05-25,Pune Station Road,12
2016-05-26,Pune Station Road,12
2016-05-27,Pune Station Road,11
2016-05-28,Pune Station Road,7
2016-05-29,Pune Station Road,6
2016-05-30,Pune Station Road,8
2016-05-31,Pune Station Road,12
2016-06-01,Pune Station Road,16
2016-06-02,Pune Station Road,14
2016-06-03,Pune Station Road,14
2016-06-04,Pune Station Road,9
2016-06-05,Pune Station Road,7
2016-06-06,Pune Station Road,5
2016-06-07,Pune Station Road,13
2016-06-08,Pune Station Road,16
2016-06-09,Pune Station Road,10
2016-06-10,Pune Station Road,14
2016-06-11,Pune Station Road,14
2016-06-12,Pune Station Road,7
2016-06-13,Pune Station Road,12
2016-06-14,Pune Station Road,12
2016-06-15,Pune Station Road,14
2016-06-16,Pune Station Road,11
2016-06-17,Pune Station Road,11
2016-06-18,Pune Station Road,13
2016-06-19,Pune Station Road,7
2016-06-20,Pune Station Road,8
2016-06-21,Pune Station Road,13
2016-06-22,Pune Station Road,10
2016-06-23,Pune Station Road,14
2016-06-24,Pune Station Road,11
2016-06-25,Pune Station Road,12
2016-06-26,Pune Station Road,8
2016-06-27,Pune Station Road,7
2016-06-28,Pune Station Road,14
2016-06-29,Pune Station Road,13
2016-06-30,Pune Station Road,16
2016-07-01,Pune Station Road,13
2016-07-02,Pune Station Road,10
2016-07-03,Pune Station Road,8
2016-07-04,Pune Station Road,6
2016-07-05,Pune Station Road,9
2016-07-06,Pune Station Road,11
2016-07-07,Pune Station Road,8
2016-07-08,Pune Station Road,12
2016-07-09,Pune Station Road,10
2016-07-10,Pune Station Road,11
2016-07-11,Pune Station Road,8
2016-07-12,Pune Station Road,15
2016-07-13,Pune Station Road,15
2016-07-14,Pune Station Road,14
2016-07-15,Pune Station Road,14
2016-07-16,Pune Station Road,13
2016-07-17,Pune Station Road,10
2016-07-18,Pune Station Road,11
2016-07-19,Pune Station Road,14
2016-07-20,Pune Station Road,14
2016-07-21,Pune Station Road,15
2016-07-22,Pune Station Road,13
2016-07-23,Pune Station Road,9
2016-07-24,Pune Station Road,10
2016-07-25,Pune Station Road,6
2016-07-26,Pune Station Road,11
2016-07-27,Pune Station Road,15
2016-07-28,Pune Station Road,13
2016-07-29,Pune Station Road,14
2016-07-30,Pune Station Road,10
2016-07-31,Pune Station Road,9
2016-08-01,Pune Station Road,8
2016-08-02,Pune Station Road,18
2016-08-03,Pune Station Road,14
2016-08-04,Pune Station Road,5
2016-08-05,Pune Station Road,4
2016-08-06,Pune Station Road,3
2016-08-07,Pune Station Road,7
2016-08-08,Pune Station Road,8
2016-08-09,Pune Station Road,12
2016-08-10,Pune Station Road,15
2016-08-11,Pune Station Road,11
2016-08-12,Pune Station Road,12
2016-08-13,Pune Station Road,12
2016-08-14,Pune Station Road,9
2016-08-15,Pune Station Road,9
2016-08-16,Pune Station Road,15
2016-08-17,Pune Station Road,15
2016-08-18,Pune Station Road,13
2016-08-19,Pune Station Road,13
2016-08-20,Pune Station Road,9
2016-08-21,Pune Station Road,9
2016-08-22,Pune Station Road,7
2016-08-23,Pune Station Road,14
2016-08-24,Pune Station Road,16
2016-08-25,Pune Station Road,15
2016-08-26,Pune Station Road,12
2016-08-27,Pune Station Road,11
2016-08-28,Pune Station Road,9
2016-08-29,Pune Station Road,9
2016-08-30,Pune Station Road,16
2016-08-31,Pune Station Road,12
2016-09-01,Pune Station Road,11
2016-09-02,Pune Station Road,15
2016-09-03,Pune Station Road,8
2016-09-04,Pune Station Road,6
2016-09-05,Pune Station Road,8
2016-09-06,Pune Station Road,11
2016-09-07,Pune Station Road,16
2016-09-08,Pune Station Road,12
2016-09-09,Pune Station Road,14
2016-09-10,Pune Station Road,11
2016-09-11,Pune Station Road,8
2016-09-12,Pune Station Road,12
2016-09-13,Pune Station Road,17
2016-09-14,Pune Station Road,10
2016-09-15,Pune Station Road,17
2016-09-16,Pune Station Road,15
2016-09-17,Pune Station Road,11
2016-09-18,Pune Station Road,6
2016-09-19,Pune Station Road,11
2016-09-20,Pune Station Road,13
2016-09-21,Pune Station Road,12
2016-09-22,Pune Station Road,16
2016-09-23,Pune Station Road,17
2016-09-24,Pune Station Road,11
2016-09-25,Pune Station Road,10
2016-09-26,Pune Station Road,12
2016-09-27,Pune Station Road,13
2016-09-28,Pune Station Road,14
2016-09-29,Pune Station Road,16
2016-09-30,Pune Station Road,14
2016-10-01,Pune Station Road,14
2016-10-02,Pune Station Road,12
2016-10-03,Pune Station Road,11
2016-10-04,Pune Station Road,17
2016-10-05,Pune Station Road,17
2016-10-06,Pune Station Road,20
2016-10-07,Pune Station Road,16
2016-10-08,Pune Station Road,10
2016-10-09,Pune Station Road,9
