DateTime,Vehicles,ID,Junction
2014-11-01 00:00:00,15,20141101001,Abc road
2014-11-01 01:00:00,13,20141101011,Abc road
2014-11-01 02:00:00,10,20141101021,Abc road
2014-11-01 03:00:00,7,20141101031,Abc road
2014-11-01 04:00:00,9,20141101041,Abc road
2014-11-01 05:00:00,6,20141101051,Abc road
2014-11-01 06:00:00,9,20141101061,Abc road
2014-11-01 07:00:00,8,20141101071,Abc road
2014-11-01 08:00:00,11,20141101081,Abc road
2014-11-01 09:00:00,12,20141101091,Abc road
2014-11-01 10:00:00,15,20141101101,Abc road
2014-11-01 11:00:00,17,20141101111,Abc road
2014-11-01 12:00:00,16,20141101121,Abc road
2014-11-01 13:00:00,15,20141101131,Abc road
2014-11-01 14:00:00,16,20141101141,Abc road
2014-11-01 15:00:00,12,20141101151,Abc road
2014-11-01 16:00:00,12,20141101161,Abc road
2014-11-01 17:00:00,16,20141101171,Abc road
2014-11-01 18:00:00,17,20141101181,Abc road
2014-11-01 19:00:00,20,20141101191,Abc road
2014-11-01 20:00:00,17,20141101201,Abc road
2014-11-01 21:00:00,19,20141101211,Abc road
2014-11-01 22:00:00,20,20141101221,Abc road
2014-11-01 23:00:00,15,20141101231,Abc road
2014-11-02 00:00:00,14,20141102001,Abc road
2014-11-02 01:00:00,12,20141102011,Abc road
2014-11-02 02:00:00,14,20141102021,Abc road
2014-11-02 03:00:00,12,20141102031,Abc road
2014-11-02 04:00:00,12,20141102041,Abc road
2014-11-02 05:00:00,11,20141102051,Abc road
2014-11-02 06:00:00,13,20141102061,Abc road
2014-11-02 07:00:00,14,20141102071,Abc road
2014-11-02 08:00:00,12,20141102081,Abc road
2014-11-02 09:00:00,22,20141102091,Abc road
2014-11-02 10:00:00,32,20141102101,Abc road
2014-11-02 11:00:00,31,20141102111,Abc road
2014-11-02 12:00:00,35,20141102121,Abc road
2014-11-02 13:00:00,26,20141102131,Abc road
2014-11-02 14:00:00,34,20141102141,Abc road
2014-11-02 15:00:00,30,20141102151,Abc road
2014-11-02 16:00:00,27,20141102161,Abc road
2014-11-02 17:00:00,27,20141102171,Abc road
2014-11-02 18:00:00,24,20141102181,Abc road
2014-11-02 19:00:00,26,20141102191,Abc road
2014-11-02 20:00:00,29,20141102201,Abc road
2014-11-02 21:00:00,32,20141102211,Abc road
2014-11-02 22:00:00,30,20141102221,Abc road
2014-11-02 23:00:00,27,20141102231,Abc road
2014-11-03 00:00:00,21,20141103001,Abc road
2014-11-03 01:00:00,18,20141103011,Abc road
2014-11-03 02:00:00,19,20141103021,Abc road
2014-11-03 03:00:00,13,20141103031,Abc road
2014-11-03 04:00:00,11,20141103041,Abc road
2014-11-03 05:00:00,11,20141103051,Abc road
2014-11-03 06:00:00,11,20141103061,Abc road
2014-11-03 07:00:00,14,20141103071,Abc road
2014-11-03 08:00:00,15,20141103081,Abc road
2014-11-03 09:00:00,29,20141103091,Abc road
2014-11-03 10:00:00,33,20141103101,Abc road
2014-11-03 11:00:00,32,20141103111,Abc road
2014-11-03 12:00:00,32,20141103121,Abc road
2014-11-03 13:00:00,29,20141103131,Abc road
2014-11-03 14:00:00,27,20141103141,Abc road
2014-11-03 15:00:00,26,20141103151,Abc road
2014-11-03 16:00:00,28,20141103161,Abc road
2014-11-03 17:00:00,26,20141103171,Abc road
2014-11-03 18:00:00,25,20141103181,Abc road
2014-11-03 19:00:00,29,20141103191,Abc road
2014-11-03 20:00:00,26,20141103201,Abc road
2014-11-03 21:00:00,24,20141103211,Abc road
2014-11-03 22:00:00,25,20141103221,Abc road
2014-11-03 23:00:00,20,20141103231,Abc road
2014-11-04 00:00:00,18,20141104001,Abc road
2014-11-04 01:00:00,18,20141104011,Abc road
2014-11-04 02:00:00,13,20141104021,Abc road
2014-11-04 03:00:00,13,20141104031,Abc road
2014-11-04 04:00:00,10,20141104041,Abc road
2014-11-04 05:00:00,12,20141104051,Abc road
2014-11-04 06:00:00,13,20141104061,Abc road
2014-11-04 07:00:00,11,20141104071,Abc road
2014-11-04 08:00:00,13,20141104081,Abc road
2014-11-04 09:00:00,22,20141104091,Abc road
2014-11-04 10:00:00,26,20141104101,Abc road
2014-11-04 11:00:00,27,20141104111,Abc road
2014-11-04 12:00:00,31,20141104121,Abc road
2014-11-04 13:00:00,24,20141104131,Abc road
2014-11-04 14:00:00,23,20141104141,Abc road
2014-11-04 15:00:00,26,20141104151,Abc road
2014-11-04 16:00:00,26,20141104161,Abc road
2014-11-04 17:00:00,24,20141104171,Abc road
2014-11-04 18:00:00,23,20141104181,Abc road
2014-11-04 19:00:00,25,20141104191,Abc road
2014-11-04 20:00:00,26,20141104201,Abc road
2014-11-04 21:00:00,24,20141104211,Abc road
2014-11-04 22:00:00,26,20141104221,Abc road
2014-11-04 23:00:00,24,20141104231,Abc road
2014-11-05 00:00:00,19,20141105001,Abc road
2014-11-05 01:00:00,20,20141105011,Abc road
2014-11-05 02:00:00,18,20141105021,Abc road
2014-11-05 03:00:00,13,20141105031,Abc road
2014-11-05 04:00:00,13,20141105041,Abc road
2014-11-05 05:00:00,9,20141105051,Abc road
2014-11-05 06:00:00,12,20141105061,Abc road
2014-11-05 07:00:00,12,20141105071,Abc road
2014-11-05 08:00:00,15,20141105081,Abc road
2014-11-05 09:00:00,16,20141105091,Abc road
2014-11-05 10:00:00,23,20141105101,Abc road
2014-11-05 11:00:00,24,20141105111,Abc road
2014-11-05 12:00:00,25,20141105121,Abc road
2014-11-05 13:00:00,24,20141105131,Abc road
2014-11-05 14:00:00,26,20141105141,Abc road
2014-11-05 15:00:00,22,20141105151,Abc road
2014-11-05 16:00:00,20,20141105161,Abc road
2014-11-05 17:00:00,20,20141105171,Abc road
2014-11-05 18:00:00,22,20141105181,Abc road
2014-11-05 19:00:00,26,20141105191,Abc road
