DateTime,Vehicles,ID,Junction
2014-11-01 00:00:00,15,20141101001,Vidya Nagar
2014-11-01 01:00:00,13,20141101011,Vidya Nagar
2014-11-01 02:00:00,10,20141101021,Vidya Nagar
2014-11-01 03:00:00,7,20141101031,Vidya Nagar
2014-11-01 04:00:00,9,20141101041,Vidya Nagar
2014-11-01 05:00:00,6,20141101051,Vidya Nagar
2014-11-01 06:00:00,9,20141101061,Vidya Nagar
2014-11-01 07:00:00,8,20141101071,Vidya Nagar
2014-11-01 08:00:00,11,20141101081,Vidya Nagar
2014-11-01 09:00:00,12,20141101091,Vidya Nagar
2014-11-01 10:00:00,15,20141101101,Vidya Nagar
2014-11-01 11:00:00,17,20141101111,Vidya Nagar
2014-11-01 12:00:00,16,20141101121,Vidya Nagar
2014-11-01 13:00:00,15,20141101131,Vidya Nagar
2014-11-01 14:00:00,16,20141101141,Vidya Nagar
2014-11-01 15:00:00,12,20141101151,Vidya Nagar
2014-11-01 16:00:00,12,20141101161,Vidya Nagar
2014-11-01 17:00:00,16,20141101171,Vidya Nagar
2014-11-01 18:00:00,17,20141101181,Vidya Nagar
2014-11-01 19:00:00,20,20141101191,Vidya Nagar
2014-11-01 20:00:00,17,20141101201,Vidya Nagar
2014-11-01 21:00:00,19,20141101211,Vidya Nagar
2014-11-01 22:00:00,20,20141101221,Vidya Nagar
2014-11-01 23:00:00,15,20141101231,Vidya Nagar
2014-11-02 00:00:00,14,20141102001,Vidya Nagar
2014-11-02 01:00:00,12,20141102011,Vidya Nagar
2014-11-02 02:00:00,14,20141102021,Vidya Nagar
2014-11-02 03:00:00,12,20141102031,Vidya Nagar
2014-11-02 04:00:00,12,20141102041,Vidya Nagar
2014-11-02 05:00:00,11,20141102051,Vidya Nagar
2014-11-02 06:00:00,13,20141102061,Vidya Nagar
2014-11-02 07:00:00,14,20141102071,Vidya Nagar
2014-11-02 08:00:00,12,20141102081,Vidya Nagar
2014-11-02 09:00:00,22,20141102091,Vidya Nagar
2014-11-02 10:00:00,32,20141102101,Vidya Nagar
2014-11-02 11:00:00,31,20141102111,Vidya Nagar
2014-11-02 12:00:00,35,20141102121,Vidya Nagar
2014-11-02 13:00:00,26,20141102131,Vidya Nagar
2014-11-02 14:00:00,34,20141102141,Vidya Nagar
2014-11-02 15:00:00,30,20141102151,Vidya Nagar
2014-11-02 16:00:00,27,20141102161,Vidya Nagar
2014-11-02 17:00:00,27,20141102171,Vidya Nagar
2014-11-02 18:00:00,24,20141102181,Vidya Nagar
2014-11-02 19:00:00,26,20141102191,Vidya Nagar
2014-11-02 20:00:00,29,20141102201,Vidya Nagar
2014-11-02 21:00:00,32,20141102211,Vidya Nagar
2014-11-02 22:00:00,30,20141102221,Vidya Nagar
2014-11-02 23:00:00,27,20141102231,Vidya Nagar
2014-11-03 00:00:00,21,20141103001,Vidya Nagar
2014-11-03 01:00:00,18,20141103011,Vidya Nagar
2014-11-03 02:00:00,19,20141103021,Vidya Nagar
2014-11-03 03:00:00,13,20141103031,Vidya Nagar
2014-11-03 04:00:00,11,20141103041,Vidya Nagar
2014-11-03 05:00:00,11,20141103051,Vidya Nagar
2014-11-03 06:00:00,11,20141103061,Vidya Nagar
2014-11-03 07:00:00,14,20141103071,Vidya Nagar
2014-11-03 08:00:00,15,20141103081,Vidya Nagar
2014-11-03 09:00:00,29,20141103091,Vidya Nagar
2014-11-03 10:00:00,33,20141103101,Vidya Nagar
2014-11-03 11:00:00,32,20141103111,Vidya Nagar
2014-11-03 12:00:00,32,20141103121,Vidya Nagar
2014-11-03 13:00:00,29,20141103131,Vidya Nagar
2014-11-03 14:00:00,27,20141103141,Vidya Nagar
2014-11-03 15:00:00,26,20141103151,Vidya Nagar
2014-11-03 16:00:00,28,20141103161,Vidya Nagar
2014-11-03 17:00:00,26,20141103171,Vidya Nagar
2014-11-03 18:00:00,25,20141103181,Vidya Nagar
2014-11-03 19:00:00,29,20141103191,Vidya Nagar
2014-11-03 20:00:00,26,20141103201,Vidya Nagar
2014-11-03 21:00:00,24,20141103211,Vidya Nagar
2014-11-03 22:00:00,25,20141103221,Vidya Nagar
2014-11-03 23:00:00,20,20141103231,Vidya Nagar
2014-11-04 00:00:00,18,20141104001,Vidya Nagar
2014-11-04 01:00:00,18,20141104011,Vidya Nagar
2014-11-04 02:00:00,13,20141104021,Vidya Nagar
2014-11-04 03:00:00,13,20141104031,Vidya Nagar
2014-11-04 04:00:00,10,20141104041,Vidya Nagar
2014-11-04 05:00:00,12,20141104051,Vidya Nagar
2014-11-04 06:00:00,13,20141104061,Vidya Nagar
2014-11-04 07:00:00,11,20141104071,Vidya Nagar
2014-11-04 08:00:00,13,20141104081,Vidya Nagar
2014-11-04 09:00:00,22,20141104091,Vidya Nagar
2014-11-04 10:00:00,26,20141104101,Vidya Nagar
2014-11-04 11:00:00,27,20141104111,Vidya Nagar
2014-11-04 12:00:00,31,20141104121,Vidya Nagar
2014-11-04 13:00:00,24,20141104131,Vidya Nagar
2014-11-04 14:00:00,23,20141104141,Vidya Nagar
2014-11-04 15:00:00,26,20141104151,Vidya Nagar
2014-11-04 16:00:00,26,20141104161,Vidya Nagar
2014-11-04 17:00:00,24,20141104171,Vidya Nagar
2014-11-04 18:00:00,23,20141104181,Vidya Nagar
2014-11-04 19:00:00,25,20141104191,Vidya Nagar
2014-11-04 20:00:00,26,20141104201,Vidya Nagar
2014-11-04 21:00:00,24,20141104211,Vidya Nagar
2014-11-04 22:00:00,26,20141104221,Vidya Nagar
2014-11-04 23:00:00,24,20141104231,Vidya Nagar
2014-11-05 00:00:00,19,20141105001,Vidya Nagar
2014-11-05 01:00:00,20,20141105011,Vidya Nagar
2014-11-05 02:00:00,18,20141105021,Vidya Nagar
2014-11-05 03:00:00,13,20141105031,Vidya Nagar
2014-11-05 04:00:00,13,20141105041,Vidya Nagar
2014-11-05 05:00:00,9,20141105051,Vidya Nagar
2014-11-05 06:00:00,12,20141105061,Vidya Nagar
2014-11-05 07:00:00,12,20141105071,Vidya Nagar
2014-11-05 08:00:00,15,20141105081,Vidya Nagar
2014-11-05 09:00:00,16,20141105091,Vidya Nagar
2014-11-05 10:00:00,23,20141105101,Vidya Nagar
2014-11-05 11:00:00,24,20141105111,Vidya Nagar
2014-11-05 12:00:00,25,20141105121,Vidya Nagar
2014-11-05 13:00:00,24,20141105131,Vidya Nagar
2014-11-05 14:00:00,26,20141105141,Vidya Nagar
2014-11-05 15:00:00,22,20141105151,Vidya Nagar
2014-11-05 16:00:00,20,20141105161,Vidya Nagar
2014-11-05 17:00:00,20,20141105171,Vidya Nagar
2014-11-05 18:00:00,22,20141105181,Vidya Nagar
2014-11-05 19:00:00,26,20141105191,Vidya Nagar
2014-11-05 20:00:00,22,20141105201,Vidya Nagar
2014-11-05 21:00:00,21,20141105211,Vidya Nagar
2014-11-05 22:00:00,21,20141105221,Vidya Nagar
2014-11-05 23:00:00,21,20141105231,Vidya Nagar
2014-11-06 00:00:00,16,20141106001,Vidya Nagar
2014-11-06 01:00:00,18,20141106011,Vidya Nagar
2014-11-06 02:00:00,19,20141106021,Vidya Nagar
2014-11-06 03:00:00,14,20141106031,Vidya Nagar
2014-11-06 04:00:00,12,20141106041,Vidya Nagar
2014-11-06 05:00:00,13,20141106051,Vidya Nagar
2014-11-06 06:00:00,14,20141106061,Vidya Nagar
2014-11-06 07:00:00,14,20141106071,Vidya Nagar
2014-11-06 08:00:00,13,20141106081,Vidya Nagar
2014-11-06 09:00:00,20,20141106091,Vidya Nagar
2014-11-06 10:00:00,22,20141106101,Vidya Nagar
2014-11-06 11:00:00,26,20141106111,Vidya Nagar
2014-11-06 12:00:00,26,20141106121,Vidya Nagar
2014-11-06 13:00:00,21,20141106131,Vidya Nagar
2014-11-06 14:00:00,23,20141106141,Vidya Nagar
2014-11-06 15:00:00,23,20141106151,Vidya Nagar
2014-11-06 16:00:00,19,20141106161,Vidya Nagar
2014-11-06 17:00:00,19,20141106171,Vidya Nagar
2014-11-06 18:00:00,20,20141106181,Vidya Nagar
2014-11-06 19:00:00,24,20141106191,Vidya Nagar
2014-11-06 20:00:00,18,20141106201,Vidya Nagar
2014-11-06 21:00:00,19,20141106211,Vidya Nagar
2014-11-06 22:00:00,16,20141106221,Vidya Nagar
2014-11-06 23:00:00,17,20141106231,Vidya Nagar
2014-11-07 00:00:00,16,20141107001,Vidya Nagar
2014-11-07 01:00:00,16,20141107011,Vidya Nagar
2014-11-07 02:00:00,10,20141107021,Vidya Nagar
2014-11-07 03:00:00,9,20141107031,Vidya Nagar
2014-11-07 04:00:00,8,20141107041,Vidya Nagar
2014-11-07 05:00:00,7,20141107051,Vidya Nagar
2014-11-07 06:00:00,9,20141107061,Vidya Nagar
2014-11-07 07:00:00,8,20141107071,Vidya Nagar
2014-11-07 08:00:00,12,20141107081,Vidya Nagar
2014-11-07 09:00:00,13,20141107091,Vidya Nagar
2014-11-07 10:00:00,17,20141107101,Vidya Nagar
2014-11-07 11:00:00,14,20141107111,Vidya Nagar
2014-11-07 12:00:00,14,20141107121,Vidya Nagar
2014-11-07 13:00:00,14,20141107131,Vidya Nagar
2014-11-07 14:00:00,14,20141107141,Vidya Nagar
2014-11-07 15:00:00,11,20141107151,Vidya Nagar
2014-11-07 16:00:00,15,20141107161,Vidya Nagar
2014-11-07 17:00:00,13,20141107171,Vidya Nagar
2014-11-07 18:00:00,12,20141107181,Vidya Nagar
2014-11-07 19:00:00,17,20141107191,Vidya Nagar
2014-11-07 20:00:00,18,20141107201,Vidya Nagar
