DateTime,Junction,Vehicles,ID
2015-11-01 01:00:00,1,9,66
2015-12-01 01:00:00,1,97,85
2015-12-31 01:00:00,1,15,86
2016-01-30 01:00:00,1,97,1
2016-02-29 01:00:00,1,26,87
2016-03-30 01:00:00,1,64,36
2016-04-29 01:00:00,1,76,49
2016-05-29 01:00:00,1,91,80
2016-06-28 01:00:00,1,14,66
2016-07-28 01:00:00,1,98,56
2016-08-27 01:00:00,1,31,63
2016-09-26 01:00:00,1,3,31
2016-10-26 01:00:00,1,79,39
2016-11-25 01:00:00,1,1,75
2016-12-25 01:00:00,1,76,46
2017-01-24 01:00:00,1,22,70
2017-02-23 01:00:00,1,57,78
2017-03-25 01:00:00,1,69,29
2017-04-24 01:00:00,1,4,55
2017-05-24 01:00:00,1,78,28
2017-06-23 01:00:00,1,80,67
2017-07-23 01:00:00,1,71,58
2017-08-22 01:00:00,1,13,19
2017-09-21 01:00:00,1,25,21
2015-11-01 01:00:00,2,3,6
2015-12-01 01:00:00,2,26,55
2015-12-31 01:00:00,2,94,64
2016-01-30 01:00:00,2,64,0
2016-02-29 01:00:00,2,88,35
2016-03-30 01:00:00,2,36,52
2016-04-29 01:00:00,2,59,70
2016-05-29 01:00:00,2,52,29
2016-06-28 01:00:00,2,4,40
2016-07-28 01:00:00,2,26,89
2016-08-27 01:00:00,2,83,30
2016-09-26 01:00:00,2,81,88
2016-10-26 01:00:00,2,9,40
2016-11-25 01:00:00,2,94,96
2016-12-25 01:00:00,2,5,89
2017-01-24 01:00:00,2,63,70
2017-02-23 01:00:00,2,19,24
2017-03-25 01:00:00,2,83,79
2017-04-24 01:00:00,2,8,3
2017-05-24 01:00:00,2,43,20
2017-06-23 01:00:00,2,20,11
2017-07-23 01:00:00,2,81,17
2017-08-22 01:00:00,2,90,47
2017-09-21 01:00:00,2,15,83
2015-11-01 01:00:00,3,32,0
2015-12-01 01:00:00,3,96,37
2015-12-31 01:00:00,3,53,35
2016-01-30 01:00:00,3,9,51
2016-02-29 01:00:00,3,42,67
2016-03-30 01:00:00,3,91,56
2016-04-29 01:00:00,3,65,15
2016-05-29 01:00:00,3,98,81
2016-06-28 01:00:00,3,72,61
2016-07-28 01:00:00,3,66,40
2016-08-27 01:00:00,3,44,40
2016-09-26 01:00:00,3,42,99
2016-10-26 01:00:00,3,86,94
2016-11-25 01:00:00,3,54,79
2016-12-25 01:00:00,3,89,84
2017-01-24 01:00:00,3,45,22
2017-02-23 01:00:00,3,35,88
2017-03-25 01:00:00,3,98,86
2017-04-24 01:00:00,3,62,92
2017-05-24 01:00:00,3,96,96
2017-06-23 01:00:00,3,10,20
2017-07-23 01:00:00,3,5,71
2017-08-22 01:00:00,3,19,4
2017-09-21 01:00:00,3,70,1
2015-11-01 01:00:00,4,47,66
2015-12-01 01:00:00,4,2,54
2015-12-31 01:00:00,4,8,70
2016-01-30 01:00:00,4,18,86
2016-02-29 01:00:00,4,55,36
2016-03-30 01:00:00,4,14,24
2016-04-29 01:00:00,4,94,32
2016-05-29 01:00:00,4,94,80
2016-06-28 01:00:00,4,55,46
2016-07-28 01:00:00,4,47,99
2016-08-27 01:00:00,4,80,43
2016-09-26 01:00:00,4,4,16
2016-10-26 01:00:00,4,34,38
2016-11-25 01:00:00,4,43,39
2016-12-25 01:00:00,4,6,74
2017-01-24 01:00:00,4,78,12
2017-02-23 01:00:00,4,16,58
2017-03-25 01:00:00,4,35,37
2017-04-24 01:00:00,4,89,2
2017-05-24 01:00:00,4,99,58
2017-06-23 01:00:00,4,39,49
2017-07-23 01:00:00,4,40,21
2017-08-22 01:00:00,4,2,1
2017-09-21 01:00:00,4,3,64
