DateTime,Junction,Vehicles,ID
2015-11-01 01:00:00,1,66,19
2015-11-08 01:00:00,1,19,53
2015-11-15 01:00:00,1,79,51
2015-11-22 01:00:00,1,29,78
2015-11-29 01:00:00,1,2,76
2015-12-06 01:00:00,1,70,39
2015-12-13 01:00:00,1,36,38
2015-12-20 01:00:00,1,27,24
2015-12-27 01:00:00,1,95,86
2016-01-03 01:00:00,1,97,11
2016-01-10 01:00:00,1,14,49
2016-01-17 01:00:00,1,56,32
2016-01-24 01:00:00,1,84,48
2016-01-31 01:00:00,1,39,71
2016-02-07 01:00:00,1,40,85
2016-02-14 01:00:00,1,70,12
2016-02-21 01:00:00,1,2,19
2016-02-28 01:00:00,1,44,99
2016-03-06 01:00:00,1,33,45
2016-03-13 01:00:00,1,0,25
2016-03-20 01:00:00,1,87,31
2016-03-27 01:00:00,1,15,65
2016-04-03 01:00:00,1,79,70
2016-04-10 01:00:00,1,27,6
2016-04-17 01:00:00,1,72,1
2016-04-24 01:00:00,1,86,7
2016-05-01 01:00:00,1,24,17
2016-05-08 01:00:00,1,34,42
2016-05-15 01:00:00,1,61,21
2016-05-22 01:00:00,1,18,49
2016-05-29 01:00:00,1,96,53
2016-06-05 01:00:00,1,85,17
2016-06-12 01:00:00,1,26,67
2016-06-19 01:00:00,1,21,37
2016-06-26 01:00:00,1,98,23
2016-07-03 01:00:00,1,10,6
2016-07-10 01:00:00,1,82,51
2016-07-17 01:00:00,1,17,89
2016-07-24 01:00:00,1,29,79
2016-07-31 01:00:00,1,25,82
2016-08-07 01:00:00,1,21,73
2016-08-14 01:00:00,1,16,31
2016-08-21 01:00:00,1,77,61
2016-08-28 01:00:00,1,44,16
2016-09-04 01:00:00,1,2,75
2016-09-11 01:00:00,1,83,45
2016-09-18 01:00:00,1,73,70
2016-09-25 01:00:00,1,2,64
2016-10-02 01:00:00,1,26,79
2016-10-09 01:00:00,1,79,78
2016-10-16 01:00:00,1,33,98
2016-10-23 01:00:00,1,24,91
2016-10-30 01:00:00,1,72,14
2016-11-06 01:00:00,1,50,63
2016-11-13 01:00:00,1,32,21
2016-11-20 01:00:00,1,89,31
2016-11-27 01:00:00,1,45,87
2016-12-04 01:00:00,1,81,65
2016-12-11 01:00:00,1,85,76
2016-12-18 01:00:00,1,16,72
2016-12-25 01:00:00,1,91,67
2017-01-01 01:00:00,1,27,20
2017-01-08 01:00:00,1,60,47
2017-01-15 01:00:00,1,90,54
2017-01-22 01:00:00,1,24,33
2017-01-29 01:00:00,1,39,4
2017-02-05 01:00:00,1,20,61
2017-02-12 01:00:00,1,97,30
2017-02-19 01:00:00,1,8,61
2017-02-26 01:00:00,1,55,69
2017-03-05 01:00:00,1,52,22
2017-03-12 01:00:00,1,51,97
2017-03-19 01:00:00,1,12,95
2017-03-26 01:00:00,1,51,1
2017-04-02 01:00:00,1,57,97
2017-04-09 01:00:00,1,79,43
2017-04-16 01:00:00,1,42,97
2017-04-23 01:00:00,1,93,97
2017-04-30 01:00:00,1,94,59
2017-05-07 01:00:00,1,55,29
2017-05-14 01:00:00,1,91,4
2017-05-21 01:00:00,1,42,33
2017-05-28 01:00:00,1,55,73
2017-06-04 01:00:00,1,76,69
2017-06-11 01:00:00,1,96,38
2017-06-18 01:00:00,1,66,58
2017-06-25 01:00:00,1,18,18
2017-07-02 01:00:00,1,8,76
2017-07-09 01:00:00,1,2,47
2017-07-16 01:00:00,1,58,91
2017-07-23 01:00:00,1,11,92
2017-07-30 01:00:00,1,91,53
2017-08-06 01:00:00,1,22,6
2017-08-13 01:00:00,1,45,50
2017-08-20 01:00:00,1,45,61
2017-08-27 01:00:00,1,96,43
2017-09-03 01:00:00,1,40,30
2017-09-10 01:00:00,1,73,46
2017-09-17 01:00:00,1,35,3
2017-09-24 01:00:00,1,77,96
2015-11-01 01:00:00,2,99,63
2015-11-08 01:00:00,2,57,95
2015-11-15 01:00:00,2,85,74
2015-11-22 01:00:00,2,93,23
2015-11-29 01:00:00,2,60,95
2015-12-06 01:00:00,2,60,67
2015-12-13 01:00:00,2,58,93
2015-12-20 01:00:00,2,24,58
2015-12-27 01:00:00,2,95,84
2016-01-03 01:00:00,2,50,97
2016-01-10 01:00:00,2,33,80
2016-01-17 01:00:00,2,50,53
2016-01-24 01:00:00,2,98,91
2016-01-31 01:00:00,2,43,86
2016-02-07 01:00:00,2,7,61
2016-02-14 01:00:00,2,39,90
2016-02-21 01:00:00,2,64,86
2016-02-28 01:00:00,2,24,32
2016-03-06 01:00:00,2,89,93
2016-03-13 01:00:00,2,71,18
2016-03-20 01:00:00,2,40,74
2016-03-27 01:00:00,2,77,7
2016-04-03 01:00:00,2,80,98
2016-04-10 01:00:00,2,95,87
2016-04-17 01:00:00,2,46,49
2016-04-24 01:00:00,2,81,38
2016-05-01 01:00:00,2,87,29
2016-05-08 01:00:00,2,21,69
2016-05-15 01:00:00,2,43,38
2016-05-22 01:00:00,2,35,81
2016-05-29 01:00:00,2,42,24
2016-06-05 01:00:00,2,72,79
2016-06-12 01:00:00,2,27,19
2016-06-19 01:00:00,2,63,48
2016-06-26 01:00:00,2,32,75
2016-07-03 01:00:00,2,86,75
2016-07-10 01:00:00,2,40,83
2016-07-17 01:00:00,2,64,29
2016-07-24 01:00:00,2,29,73
2016-07-31 01:00:00,2,2,16
2016-08-07 01:00:00,2,19,18
2016-08-14 01:00:00,2,52,65
2016-08-21 01:00:00,2,8,76
2016-08-28 01:00:00,2,85,24
2016-09-04 01:00:00,2,71,4
2016-09-11 01:00:00,2,82,32
2016-09-18 01:00:00,2,9,59
2016-09-25 01:00:00,2,40,61
2016-10-02 01:00:00,2,17,14
2016-10-09 01:00:00,2,47,2
2016-10-16 01:00:00,2,61,81
2016-10-23 01:00:00,2,33,64
2016-10-30 01:00:00,2,85,23
2016-11-06 01:00:00,2,96,5
2016-11-13 01:00:00,2,68,90
2016-11-20 01:00:00,2,47,85
2016-11-27 01:00:00,2,7,41
2016-12-04 01:00:00,2,29,39
2016-12-11 01:00:00,2,87,10
2016-12-18 01:00:00,2,26,11
2016-12-25 01:00:00,2,90,67
2017-01-01 01:00:00,2,11,13
2017-01-08 01:00:00,2,32,42
2017-01-15 01:00:00,2,78,14
2017-01-22 01:00:00,2,21,15
2017-01-29 01:00:00,2,72,34
2017-02-05 01:00:00,2,57,69
2017-02-12 01:00:00,2,30,30
2017-02-19 01:00:00,2,17,75
2017-02-26 01:00:00,2,55,34
2017-03-05 01:00:00,2,98,29
2017-03-12 01:00:00,2,78,56
2017-03-19 01:00:00,2,51,22
2017-03-26 01:00:00,2,62,99
2017-04-02 01:00:00,2,98,28
2017-04-09 01:00:00,2,53,39
2017-04-16 01:00:00,2,86,7
2017-04-23 01:00:00,2,84,1
2017-04-30 01:00:00,2,56,62
2017-05-07 01:00:00,2,8,97
2017-05-14 01:00:00,2,54,95
2017-05-21 01:00:00,2,15,14
2017-05-28 01:00:00,2,6,85
2017-06-04 01:00:00,2,25,64
2017-06-11 01:00:00,2,68,22
2017-06-18 01:00:00,2,81,9
2017-06-25 01:00:00,2,78,44
2017-07-02 01:00:00,2,13,98
2017-07-09 01:00:00,2,56,37
2017-07-16 01:00:00,2,30,15
2017-07-23 01:00:00,2,9,62
2017-07-30 01:00:00,2,39,96
2017-08-06 01:00:00,2,39,54
2017-08-13 01:00:00,2,1,37
2017-08-20 01:00:00,2,15,62
2017-08-27 01:00:00,2,93,86
2017-09-03 01:00:00,2,69,48
2017-09-10 01:00:00,2,39,17
2017-09-17 01:00:00,2,97,52
2017-09-24 01:00:00,2,14,77
2015-11-01 01:00:00,3,33,58
2015-11-08 01:00:00,3,90,29
2015-11-15 01:00:00,3,0,84
2015-11-22 01:00:00,3,60,23
2015-11-29 01:00:00,3,15,9
2015-12-06 01:00:00,3,2,70
2015-12-13 01:00:00,3,43,29
2015-12-20 01:00:00,3,70,81
2015-12-27 01:00:00,3,46,72
2016-01-03 01:00:00,3,53,79
2016-01-10 01:00:00,3,73,13
2016-01-17 01:00:00,3,79,69
2016-01-24 01:00:00,3,51,89
2016-01-31 01:00:00,3,34,19
2016-02-07 01:00:00,3,67,83
2016-02-14 01:00:00,3,76,65
2016-02-21 01:00:00,3,44,64
2016-02-28 01:00:00,3,75,93
2016-03-06 01:00:00,3,69,41
2016-03-13 01:00:00,3,74,71
2016-03-20 01:00:00,3,97,12
2016-03-27 01:00:00,3,17,19
2016-04-03 01:00:00,3,70,24
2016-04-10 01:00:00,3,53,89
2016-04-17 01:00:00,3,86,62
2016-04-24 01:00:00,3,21,60
2016-05-01 01:00:00,3,99,1
2016-05-08 01:00:00,3,8,77
2016-05-15 01:00:00,3,96,73
2016-05-22 01:00:00,3,75,38
2016-05-29 01:00:00,3,58,76
2016-06-05 01:00:00,3,24,74
2016-06-12 01:00:00,3,7,60
2016-06-19 01:00:00,3,52,95
2016-06-26 01:00:00,3,59,92
2016-07-03 01:00:00,3,55,25
2016-07-10 01:00:00,3,47,3
2016-07-17 01:00:00,3,84,37
2016-07-24 01:00:00,3,51,72
2016-07-31 01:00:00,3,16,9
2016-08-07 01:00:00,3,72,79
2016-08-14 01:00:00,3,35,27
2016-08-21 01:00:00,3,8,86
2016-08-28 01:00:00,3,44,52
2016-09-04 01:00:00,3,78,32
2016-09-11 01:00:00,3,18,82
2016-09-18 01:00:00,3,68,77
2016-09-25 01:00:00,3,36,85
2016-10-02 01:00:00,3,26,59
2016-10-09 01:00:00,3,29,2
2016-10-16 01:00:00,3,67,89
2016-10-23 01:00:00,3,5,82
2016-10-30 01:00:00,3,83,47
2016-11-06 01:00:00,3,16,57
2016-11-13 01:00:00,3,50,96
2016-11-20 01:00:00,3,27,70
2016-11-27 01:00:00,3,96,99
2016-12-04 01:00:00,3,3,6
2016-12-11 01:00:00,3,50,17
2016-12-18 01:00:00,3,67,90
2016-12-25 01:00:00,3,63,10
2017-01-01 01:00:00,3,26,77
2017-01-08 01:00:00,3,34,99
2017-01-15 01:00:00,3,84,33
2017-01-22 01:00:00,3,73,18
2017-01-29 01:00:00,3,32,20
2017-02-05 01:00:00,3,67,8
2017-02-12 01:00:00,3,45,70
2017-02-19 01:00:00,3,12,85
2017-02-26 01:00:00,3,83,84
2017-03-05 01:00:00,3,34,54
2017-03-12 01:00:00,3,40,12
2017-03-19 01:00:00,3,92,95
2017-03-26 01:00:00,3,64,16
2017-04-02 01:00:00,3,86,28
2017-04-09 01:00:00,3,22,65
2017-04-16 01:00:00,3,23,95
2017-04-23 01:00:00,3,70,36
2017-04-30 01:00:00,3,64,89
2017-05-07 01:00:00,3,77,43
2017-05-14 01:00:00,3,41,34
2017-05-21 01:00:00,3,21,88
2017-05-28 01:00:00,3,24,53
2017-06-04 01:00:00,3,48,24
2017-06-11 01:00:00,3,62,55
2017-06-18 01:00:00,3,25,25
2017-06-25 01:00:00,3,12,72
2017-07-02 01:00:00,3,49,87
2017-07-09 01:00:00,3,8,52
2017-07-16 01:00:00,3,75,68
2017-07-23 01:00:00,3,49,20
2017-07-30 01:00:00,3,31,56
2017-08-06 01:00:00,3,86,79
2017-08-13 01:00:00,3,39,63
2017-08-20 01:00:00,3,73,5
2017-08-27 01:00:00,3,30,22
2017-09-03 01:00:00,3,95,60
2017-09-10 01:00:00,3,41,25
2017-09-17 01:00:00,3,48,6
2017-09-24 01:00:00,3,95,92
2015-11-01 01:00:00,4,31,4
2015-11-08 01:00:00,4,41,62
2015-11-15 01:00:00,4,85,64
2015-11-22 01:00:00,4,13,75
2015-11-29 01:00:00,4,52,67
2015-12-06 01:00:00,4,34,51
2015-12-13 01:00:00,4,75,20
2015-12-20 01:00:00,4,79,97
2015-12-27 01:00:00,4,84,45
2016-01-03 01:00:00,4,65,29
2016-01-10 01:00:00,4,55,30
2016-01-17 01:00:00,4,88,24
2016-01-24 01:00:00,4,27,70
2016-01-31 01:00:00,4,6,39
2016-02-07 01:00:00,4,47,24
2016-02-14 01:00:00,4,53,27
2016-02-21 01:00:00,4,37,47
2016-02-28 01:00:00,4,61,21
2016-03-06 01:00:00,4,39,17
2016-03-13 01:00:00,4,11,45
