DateTime,Junction,Vehicles
2015-11-01,Vidya Nagar,15
2015-11-02,Vidya Nagar,13
2015-11-03,Vidya Nagar,10
2015-11-04,Vidya Nagar,7
2015-11-05,Vidya Nagar,9
2015-11-06,Vidya Nagar,6
2015-11-07,Vidya Nagar,9
2015-11-08,Vidya Nagar,8
2015-11-09,Vidya Nagar,11
2015-11-10,Vidya Nagar,12
2015-11-11,Vidya Nagar,15
2015-11-12,Vidya Nagar,17
2015-11-13,Vidya Nagar,16
2015-11-14,Vidya Nagar,15
2015-11-15,Vidya Nagar,16
2015-11-16,Vidya Nagar,12
2015-11-17,Vidya Nagar,12
2015-11-18,Vidya Nagar,16
2015-11-19,Vidya Nagar,17
2015-11-20,Vidya Nagar,20
2015-11-21,Vidya Nagar,17
2015-11-22,Vidya Nagar,19
2015-11-23,Vidya Nagar,20
2015-11-24,Vidya Nagar,15
2015-11-25,Vidya Nagar,14
2015-11-26,Vidya Nagar,12
2015-11-27,Vidya Nagar,14
2015-11-28,Vidya Nagar,12
2015-11-29,Vidya Nagar,12
2015-11-30,Vidya Nagar,11
2015-12-01,Vidya Nagar,13
2015-12-02,Vidya Nagar,14
2015-12-03,Vidya Nagar,12
2015-12-04,Vidya Nagar,22
2015-12-05,Vidya Nagar,32
2015-12-06,Vidya Nagar,31
2015-12-07,Vidya Nagar,35
2015-12-08,Vidya Nagar,26
2015-12-09,Vidya Nagar,34
2015-12-10,Vidya Nagar,30
2015-12-11,Vidya Nagar,27
2015-12-12,Vidya Nagar,27
2015-12-13,Vidya Nagar,24
2015-12-14,Vidya Nagar,26
2015-12-15,Vidya Nagar,29
2015-12-16,Vidya Nagar,32
2015-12-17,Vidya Nagar,30
2015-12-18,Vidya Nagar,27
2015-12-19,Vidya Nagar,21
2015-12-20,Vidya Nagar,18
2015-12-21,Vidya Nagar,19
2015-12-22,Vidya Nagar,13
2015-12-23,Vidya Nagar,11
2015-12-24,Vidya Nagar,11
2015-12-25,Vidya Nagar,11
2015-12-26,Vidya Nagar,14
2015-12-27,Vidya Nagar,15
2015-12-28,Vidya Nagar,29
2015-12-29,Vidya Nagar,33
2015-12-30,Vidya Nagar,32
2015-12-31,Vidya Nagar,32
2016-01-01,Vidya Nagar,29
2016-01-02,Vidya Nagar,27
2016-01-03,Vidya Nagar,26
2016-01-04,Vidya Nagar,28
2016-01-05,Vidya Nagar,26
2016-01-06,Vidya Nagar,25
2016-01-07,Vidya Nagar,29
2016-01-08,Vidya Nagar,26
2016-01-09,Vidya Nagar,24
2016-01-10,Vidya Nagar,25
2016-01-11,Vidya Nagar,20
2016-01-12,Vidya Nagar,18
2016-01-13,Vidya Nagar,18
2016-01-14,Vidya Nagar,13
2016-01-15,Vidya Nagar,13
2016-01-16,Vidya Nagar,10
2016-01-17,Vidya Nagar,12
2016-01-18,Vidya Nagar,13
2016-01-19,Vidya Nagar,11
2016-01-20,Vidya Nagar,13
2016-01-21,Vidya Nagar,22
2016-01-22,Vidya Nagar,26
2016-01-23,Vidya Nagar,27
2016-01-24,Vidya Nagar,31
2016-01-25,Vidya Nagar,24
2016-01-26,Vidya Nagar,23
2016-01-27,Vidya Nagar,26
2016-01-28,Vidya Nagar,26
2016-01-29,Vidya Nagar,24
2016-01-30,Vidya Nagar,23
2016-01-31,Vidya Nagar,25
